"City","Population","Transect","Plant","Lat.pop","Long.pop","HCN_Result","Locus.Li","Locus.Ac","Dmg.1","Dmg.2","Dmg.Avg","Distance"
"Atlanta","15","NA",10,33.595387,-84.546821,1,"1","1",NA,NA,NA,22.5343077356418
"Atlanta","15","NA",11,33.595387,-84.546821,1,"1","1",NA,NA,NA,22.5343077356418
"Atlanta","15","NA",12,33.595387,-84.546821,1,"1","1",NA,NA,NA,22.5343077356418
"Atlanta","15","NA",13,33.595387,-84.546821,0,"1","0",NA,NA,NA,22.5343077356418
"Atlanta","15","NA",14,33.595387,-84.546821,1,"1","1",NA,NA,NA,22.5343077356418
"Atlanta","15","NA",15,33.595387,-84.546821,1,"1","1",NA,NA,NA,22.5343077356418
"Atlanta","16","NA",1,33.604207,-84.537996,0,"1","1",NA,NA,NA,21.2577862314402
"Atlanta","16","NA",2,33.604207,-84.537996,1,"1","1",NA,NA,NA,21.2577862314402
"Atlanta","16","NA",3,33.604207,-84.537996,1,"1","1",NA,NA,NA,21.2577862314402
"Atlanta","16","NA",4,33.604207,-84.537996,0,"0","1",NA,NA,NA,21.2577862314402
"Atlanta","16","NA",5,33.604207,-84.537996,0,"1","0",NA,NA,NA,21.2577862314402
"Atlanta","16","NA",6,33.604207,-84.537996,1,"1","1",NA,NA,NA,21.2577862314402
"Atlanta","16","NA",7,33.604207,-84.537996,1,"1","1",NA,NA,NA,21.2577862314402
"Atlanta","16","NA",8,33.604207,-84.537996,1,"1","1",NA,NA,NA,21.2577862314402
"Atlanta","16","NA",9,33.604207,-84.537996,0,"1","0",NA,NA,NA,21.2577862314402
"Atlanta","16","NA",10,33.604207,-84.537996,0,"0","0",NA,NA,NA,21.2577862314402
"Atlanta","16","NA",11,33.604207,-84.537996,1,"1","1",NA,NA,NA,21.2577862314402
"Atlanta","16","NA",12,33.604207,-84.537996,1,"1","1",NA,NA,NA,21.2577862314402
"Atlanta","16","NA",13,33.604207,-84.537996,0,"0","0",NA,NA,NA,21.2577862314402
"Atlanta","16","NA",14,33.604207,-84.537996,0,"1","0",NA,NA,NA,21.2577862314402
"Atlanta","16","NA",15,33.604207,-84.537996,1,"1","1",NA,NA,NA,21.2577862314402
"Atlanta","17","NA",1,33.607254,-84.529742,0,"0","1",NA,NA,NA,20.5054059865205
"Atlanta","17","NA",2,33.607254,-84.529742,0,"0","0",NA,NA,NA,20.5054059865205
"Atlanta","17","NA",3,33.607254,-84.529742,1,"1","1",NA,NA,NA,20.5054059865205
"Atlanta","17","NA",4,33.607254,-84.529742,0,"0","1",NA,NA,NA,20.5054059865205
"Atlanta","17","NA",5,33.607254,-84.529742,0,"1","0",NA,NA,NA,20.5054059865205
"Atlanta","17","NA",6,33.607254,-84.529742,1,"1","1",NA,NA,NA,20.5054059865205
"Atlanta","17","NA",7,33.607254,-84.529742,0,"0","0",NA,NA,NA,20.5054059865205
"Atlanta","17","NA",8,33.607254,-84.529742,1,"1","1",NA,NA,NA,20.5054059865205
"Atlanta","17","NA",9,33.607254,-84.529742,1,"1","1",NA,NA,NA,20.5054059865205
"Atlanta","17","NA",10,33.607254,-84.529742,0,"0","0",NA,NA,NA,20.5054059865205
"Atlanta","17","NA",11,33.607254,-84.529742,0,"0","0",NA,NA,NA,20.5054059865205
"Atlanta","17","NA",12,33.607254,-84.529742,0,"1","0",NA,NA,NA,20.5054059865205
"Atlanta","17","NA",13,33.607254,-84.529742,0,"1","0",NA,NA,NA,20.5054059865205
"Atlanta","17","NA",14,33.607254,-84.529742,1,"1","1",NA,NA,NA,20.5054059865205
"Atlanta","17","NA",15,33.607254,-84.529742,0,"0","1",NA,NA,NA,20.5054059865205
"Atlanta","18","NA",1,33.611845,-84.519007,1,"1","1",NA,NA,NA,19.4822927027589
"Atlanta","18","NA",2,33.611845,-84.519007,1,"1","1",NA,NA,NA,19.4822927027589
"Atlanta","18","NA",3,33.611845,-84.519007,1,"1","1",NA,NA,NA,19.4822927027589
"Atlanta","18","NA",4,33.611845,-84.519007,0,"0","1",NA,NA,NA,19.4822927027589
"Atlanta","18","NA",5,33.611845,-84.519007,1,"1","1",NA,NA,NA,19.4822927027589
"Atlanta","18","NA",6,33.611845,-84.519007,1,"1","1",NA,NA,NA,19.4822927027589
"Atlanta","18","NA",7,33.611845,-84.519007,1,"1","1",NA,NA,NA,19.4822927027589
"Atlanta","18","NA",8,33.611845,-84.519007,0,"0","1",NA,NA,NA,19.4822927027589
"Atlanta","18","NA",9,33.611845,-84.519007,1,"1","1",NA,NA,NA,19.4822927027589
